"ID","FULFILLMENT SKU","IMAGE URL","NAME","SKU","UPC","WEIGHT UNITS","PRODUCT ID","QUANTITY","SHIPPING AMOUNT","TAX AMOUNT","UNIT PRICE","WEIGHT VALUE","MARKETPLACE","SHIPSTATION_ORDERNUMBER_AS_ID","ORDERNUMBER_SKU_AS_ID","STATUS"
"a003k00000Tq2IOAAZ","","http://ecx.images-amazon.com/images/I/41S0JmKj%2BGL.jpg","Glass Bottles for Essential Oils - 12 Pack 10 ml Refillable Empty Amber Bottle with Orifice Reducer Dropper and Cap - DIY Supplies Tool & Accessories Perfume Aromatherapy - Carrier Oil Kit","B0711SPBZ4","","","","1","5.24","0.78","12.99","","Amazon","113-0037149-3711469","113-0037149-3711469-B0711SPBZ4","Item Created"
"a003k00000Tq2IPAAZ","","https://i.ebayimg.com/00/s/NTAwWDIwMg==/z/6kMAAOSwcPFdSE0T/$_1.JPG?set_id=8800005007","Raindrop Nebulizing Diffuser For Essential Oils and Organic Aromas Aromatherapy[Light Wood]","VX-18SJ-BCQK","","","","1","9.7","6.21","69.99","","eBay","141","141-VX-18SJ-BCQK","Item Created"
"a003k00000Tq2IQAAZ","","http://ecx.images-amazon.com/images/I/41Us85HPDdL.jpg","Glass 10 mL Empty Bottles for Essential Oil Aromatherapy Guaranteed Perfect Fit for Two Scents Nebulizer Diffuser - Washers and Nozzles Included - 25 Pack Cobalt Blue","B07HJFN19K","","","","1","9.95","0","55.95","","Amazon","111-5287195-4401863","111-5287195-4401863-B07HJFN19K","Item Created"
"a003k00000Tq2IRAAZ","","http://ecx.images-amazon.com/images/I/41h30k9%2B8ML.jpg","Glass 10 mL Empty Bottles for Essential Oil Aromatherapy Guaranteed Perfect Fit for Two Scents Nebulizer Diffuser - Washers and Nozzles Included - 12 Pack Cobalt Blue","B07HJFNSCD","","","","1","9.95","0","29.95","","Amazon","111-5287195-4401863","111-5287195-4401863-B07HJFNSCD","Item Created"
"a003k00000Tq2ISAAZ","","http://ecx.images-amazon.com/images/I/51EFjkHfNhL.jpg","Two Scents Essential Oils Top 8 Aromatherapy Essential Oils 100% Pure Therapeutic Grade Essential Oils Set Lavender/Peppermint/Tea Tree/Orange/Eucalyptus/Lemongrass/Frankincense/Rosemary 10 mL Oil","B07MJCTJYZ","","","","1","3.96","1.6","19.99","","Amazon","112-2027854-1739441","112-2027854-1739441-B07MJCTJYZ","Item Created"
"a003k00000Tq2ITAAZ","","https://i.ebayimg.com/00/s/OTk5WDE1MDA=/z/GD8AAOSw4lldSwbF/$_57.JPG?set_id=8800005007","Wave Runner Galaxy Ball for Skipping and Bouncing in Pool or Ocean (Colors Vary)","","","","","1","2.84","0","9.99","","eBay","142","142-A-1005","Item Created"
"a003k00000Tq2IUAAZ","","http://ecx.images-amazon.com/images/I/41jxpgpXOuL.jpg","Glass 10 mL Empty Bottles for Essential Oil Aromatherapy Guaranteed Perfect Fit for Two Scents Nebulizer Diffuser - Washers and Nozzles Included - 12 Pack Amber Brown","B07JLT9PNJ","","","","1","5.53","0","29.95","","Amazon","114-8237492-6090609","114-8237492-6090609-B07JLT9PNJ","Item Created"
"a003k00000Tq2IVAAZ","","http://ecx.images-amazon.com/images/I/51EFjkHfNhL.jpg","Two Scents Essential Oils Top 8 Aromatherapy Essential Oils 100% Pure Therapeutic Grade Essential Oils Set Lavender/Peppermint/Tea Tree/Orange/Eucalyptus/Lemongrass/Frankincense/Rosemary 10 mL Oil","B07MJCTJYZ","","","","1","4.33","0","19.99","","Amazon","113-6468333-0602627","113-6468333-0602627-B07MJCTJYZ","Item Created"
"a003k00000Tq2IWAAZ","","http://ecx.images-amazon.com/images/I/41S0JmKj%2BGL.jpg","Glass Bottles for Essential Oils - 12 Pack 10 ml Refillable Empty Amber Bottle with Orifice Reducer Dropper and Cap - DIY Supplies Tool & Accessories Perfume Aromatherapy - Carrier Oil Kit","B0711SPBZ4","","","","1","5.53","0","12.99","","Amazon","111-2698955-6449822","111-2698955-6449822-B0711SPBZ4","Item Created"
"a003k00000Tq2IXAAZ","","http://ecx.images-amazon.com/images/I/51UXiMthuyL.jpg","SLR Brands Mens adjustable sandals - Shower Flip Flops For Men | Nonslip Men's Slide On Sandals for Shower, Beach, Pool, Summer, Gym Slides | Arch Support for Athletes | Multiple sizes (12 M US, Grey)","PY-X7NL-L8PF","","","","1","4.06","0","14.99","","Amazon","114-9040788-1278601","114-9040788-1278601-PY-X7NL-L8PF","Item Created"
