"ErrorDescription";"Pricebook2Id";"Product2Id";"UnitPrice";"sku_as_id__c"
"Price Book ID: id value of incorrect type: Standard";"Standard";"01t4T000000ymp3QAA";"15.99";"B076PJ1KHS"
"Price Book ID: id value of incorrect type: Standard";"Standard";"01t4T000000ymp4QAA";"15.15";"B076PNV184fba"
"Price Book ID: id value of incorrect type: Standard";"Standard";"01t4T000000ymp5QAA";"15.99";"B076PPC76Sfmb"
"Price Book ID: id value of incorrect type: Standard";"Standard";"01t4T000000ymp6QAA";"15.15";"B076PQDF7Pfbm"
"Price Book ID: id value of incorrect type: Standard";"Standard";"01t4T000000ymp7QAA";"15.15";"B076PQKDDJfbm"
"Price Book ID: id value of incorrect type: Standard";"Standard";"01t4T000000ymp8QAA";"12.15";"B076PQKTX1fbm"
"Price Book ID: id value of incorrect type: Standard";"Standard";"01t4T000000ymp9QAA";"15.15";"B076PQV4FSfbm"
"Price Book ID: id value of incorrect type: Standard";"Standard";"01t4T000000ympAQAQ";"15.15";"B076PQW9L9fmn"
"Price Book ID: id value of incorrect type: Standard";"Standard";"01t4T000000ympBQAQ";"15.99";"B076PRB5ZR"
"Price Book ID: id value of incorrect type: Standard";"Standard";"01t4T000000ympCQAQ";"15.15";"B076PRJMR4fbm"
"Price Book ID: id value of incorrect type: Standard";"Standard";"01t4T000000ympDQAQ";"15.15";"B076PRWY1Pfbm"
"Price Book ID: id value of incorrect type: Standard";"Standard";"01t4T000000ympEQAQ";"15.15";"B076PRYSNHfbm"
"Price Book ID: id value of incorrect type: Standard";"Standard";"01t4T000000ympFQAQ";"19.99";"B076PRZLD5fbm"
"Price Book ID: id value of incorrect type: Standard";"Standard";"01t4T000000ympGQAQ";"15.15";"B076PS1XMZfbm"
"Price Book ID: id value of incorrect type: Standard";"Standard";"01t4T000000ympHQAQ";"15.15";"B076PS7LV6fbm"
"Price Book ID: id value of incorrect type: Standard";"Standard";"01t4T000000ympIQAQ";"15.15";"B076PSM86Yfmb"
"Price Book ID: id value of incorrect type: Standard";"Standard";"01t4T000000ympJQAQ";"15.15";"B076PSP63Cfbm"
"Price Book ID: id value of incorrect type: Standard";"Standard";"01t4T000000ympKQAQ";"15.15";"B076PSS8RBfbm"
"Price Book ID: id value of incorrect type: Standard";"Standard";"01t4T000000ympLQAQ";"15.15";"B076PSXH37fbm"
"Price Book ID: id value of incorrect type: Standard";"Standard";"01t4T000000ympMQAQ";"15.15";"B076PTQFF3fmb"
"Price Book ID: id value of incorrect type: Standard";"Standard";"01t4T000000ympNQAQ";"15.15";"B076PV8GQ1"
"Price Book ID: id value of incorrect type: Standard";"Standard";"01t4T000000ympOQAQ";"15.15";"B076PWHCHPfbm"
"Price Book ID: id value of incorrect type: Standard";"Standard";"01t4T000000ympPQAQ";"15.15";"B076TFPFTR"
"Price Book ID: id value of incorrect type: Standard";"Standard";"01t4T000000ympQQAQ";"15.15";"B076THWZG1fba"
"Price Book ID: id value of incorrect type: Standard";"Standard";"01t4T000000ympRQAQ";"15.15";"B076V2P2GVfba"
"Price Book ID: id value of incorrect type: Standard";"Standard";"01t4T000000ympSQAQ";"106.19";"B07G54S6VC"
"Price Book ID: id value of incorrect type: Standard";"Standard";"01t4T000000ympTQAQ";"55.95";"B07HJFN19K"
"Price Book ID: id value of incorrect type: Standard";"Standard";"01t4T000000ympUQAQ";"29.95";"B07HJFNSCD"
"Price Book ID: id value of incorrect type: Standard";"Standard";"01t4T000000ympVQAQ";"12.99";"B07JGD46QF"
"Price Book ID: id value of incorrect type: Standard";"Standard";"01t4T000000ympWQAQ";"14.95";"B07JHLJJZT"
"Price Book ID: id value of incorrect type: Standard";"Standard";"01t4T000000ympXQAQ";"9.95";"B07JLT1425"
"Price Book ID: id value of incorrect type: Standard";"Standard";"01t4T000000ympYQAQ";"29.95";"B07JLT9PNJ"
"Price Book ID: id value of incorrect type: Standard";"Standard";"01t4T000000ympZQAQ";"18.95";"B07JM4SKDL"
"Price Book ID: id value of incorrect type: Standard";"Standard";"01t4T000000ympaQAA";"9.95";"B07JM4VF3D"
"Price Book ID: id value of incorrect type: Standard";"Standard";"01t4T000000ympbQAA";"16.95";"B07JM5397V"
"Price Book ID: id value of incorrect type: Standard";"Standard";"01t4T000000ympcQAA";"11.95";"B07JMHV3VB"
"Price Book ID: id value of incorrect type: Standard";"Standard";"01t4T000000ympdQAA";"18.95";"B07JMHVHGF"
"Price Book ID: id value of incorrect type: Standard";"Standard";"01t4T000000ympeQAA";"55.95";"B07JMHWPFP"
"Price Book ID: id value of incorrect type: Standard";"Standard";"01t4T000000ympfQAA";"29.95";"B07JMKC49P"
"Price Book ID: id value of incorrect type: Standard";"Standard";"01t4T000000ympgQAA";"16.95";"B07JMLT8CH"
"Price Book ID: id value of incorrect type: Standard";"Standard";"01t4T000000ymphQAA";"20.95";"B07JMM7V97"
"Price Book ID: id value of incorrect type: Standard";"Standard";"01t4T000000ympiQAA";"39.95";"B07KX7DYFW"
"Price Book ID: id value of incorrect type: Standard";"Standard";"01t4T000000ympjQAA";"13.95";"B07KX7YGLR"
"Price Book ID: id value of incorrect type: Standard";"Standard";"01t4T000000ympkQAA";"12.95";"B07KX8S7S2"
"Price Book ID: id value of incorrect type: Standard";"Standard";"01t4T000000ymplQAA";"67.95";"B07L3RLXT9"
"Price Book ID: id value of incorrect type: Standard";"Standard";"01t4T000000ympmQAA";"35.95";"B07L3Z5BHH"
"Price Book ID: id value of incorrect type: Standard";"Standard";"01t4T000000ympnQAA";"17.95";"B07L3ZDTJ9"
"Price Book ID: id value of incorrect type: Standard";"Standard";"01t4T000000ympoQAA";"11.95";"B07L3ZY95V"
"Price Book ID: id value of incorrect type: Standard";"Standard";"01t4T000000ymppQAA";"35.95";"B07L41C3FN"
"Price Book ID: id value of incorrect type: Standard";"Standard";"01t4T000000ympqQAA";"42.95";"B07L41XTJJ"
"Price Book ID: id value of incorrect type: Standard";"Standard";"01t4T000000ymprQAA";"59.95";"B07L41Z65S"
"Price Book ID: id value of incorrect type: Standard";"Standard";"01t4T000000ympsQAA";"10.95";"B07L42TMFJ"
"Price Book ID: id value of incorrect type: Standard";"Standard";"01t4T000000ymptQAA";"13.95";"B07L435Q38"
"Price Book ID: id value of incorrect type: Standard";"Standard";"01t4T000000ympuQAA";"11.95";"B07L43TTX3"
"Price Book ID: id value of incorrect type: Standard";"Standard";"01t4T000000ympvQAA";"11.99";"B07L5ZBNHB"
"Price Book ID: id value of incorrect type: Standard";"Standard";"01t4T000000ympwQAA";"59.95";"B07L8MTXFG"
"Price Book ID: id value of incorrect type: Standard";"Standard";"01t4T000000ympxQAA";"14.99";"B07MJCTJYZ"
"Price Book ID: id value of incorrect type: Standard";"Standard";"01t4T000000ympyQAA";"55.99";"B07NH7VDB2"
"Price Book ID: id value of incorrect type: Standard";"Standard";"01t4T000000ympzQAA";"49.95";"B07NHG7JG4"
"Price Book ID: id value of incorrect type: Standard";"Standard";"01t4T000000ymq0QAA";"54.99";"B07P7Q6W11"
"Price Book ID: id value of incorrect type: Standard";"Standard";"01t4T000000ymq1QAA";"49.95";"B07PFG2Q3Z"
"Price Book ID: id value of incorrect type: Standard";"Standard";"01t4T000000ymq2QAA";"20.95";"B07PFY8CJY"
"Price Book ID: id value of incorrect type: Standard";"Standard";"01t4T000000ymq3QAA";"49.95";"B07PJ191H7"
"Price Book ID: id value of incorrect type: Standard";"Standard";"01t4T000000ymq4QAA";"9.99";"B6-5Y6C-E7N7"
"Price Book ID: id value of incorrect type: Standard";"Standard";"01t4T000000ymq5QAA";"19.99";"BI-4S5R-WNPT"
"Price Book ID: id value of incorrect type: Standard";"Standard";"01t4T000000ymq6QAA";"14.99";"C0-66V3-ZNZS"
